track_id,frame,cx,cy,conf
0,25,615.0,215.0,0.673
0,29,568.0,293.0,0.529
1,47,681.0,346.0,0.301
1,48,682.0,329.0,0.721
1,49,680.0,332.0,0.571
2,56,746.0,302.0,0.477
2,58,689.0,299.0,0.425
3,58,650.0,226.0,0.654
3,59,651.0,237.0,0.601
3,61,661.0,215.0,0.462
4,70,389.0,211.0,0.306
4,71,404.0,209.0,0.48
5,71,663.0,357.0,0.535
5,74,696.0,349.0,0.53
6,78,919.0,311.0,0.321
6,79,949.0,285.0,0.38
7,84,646.0,447.0,0.698
7,85,677.0,429.0,0.394
8,84,466.0,405.0,0.59
8,85,475.0,369.0,0.393
9,89,518.0,334.0,0.317
9,90,531.0,324.0,0.351
9,93,564.0,332.0,0.54
10,94,506.0,390.0,0.542
10,96,444.0,353.0,0.392
11,100,439.0,347.0,0.615
11,101,460.0,375.0,0.495
12,103,566.0,394.0,0.477
12,104,597.0,409.0,0.491
13,106,646.0,362.0,0.374
13,108,628.0,406.0,0.519
13,110,602.0,408.0,0.306
14,111,788.0,447.0,0.462
14,113,775.0,380.0,0.372
15,126,248.0,384.0,0.845
15,127,248.0,396.0,0.739
16,129,238.0,433.0,0.618
16,130,247.0,433.0,0.817
17,133,365.0,435.0,0.636
17,134,392.0,446.0,0.791
18,135,427.0,500.0,0.839
18,136,440.0,529.0,0.592
18,139,520.0,452.0,0.499
19,158,1139.0,365.0,0.344
19,161,1053.0,432.0,0.369
20,167,779.0,251.0,0.505
20,168,764.0,244.0,0.577
20,173,822.0,363.0,0.391
20,174,821.0,362.0,0.604
20,175,810.0,362.0,0.582
20,177,776.0,366.0,0.515
21,190,598.0,158.0,0.377
21,194,533.0,283.0,0.295
22,200,699.0,321.0,0.352
22,206,681.0,480.0,0.679
23,217,854.0,436.0,0.851
23,218,859.0,424.0,0.362
23,219,858.0,410.0,0.675
24,223,1103.0,345.0,0.589
24,224,1128.0,338.0,0.606
25,227,1117.0,333.0,0.773
25,228,1133.0,335.0,0.457
25,229,1139.0,349.0,0.577
25,230,1140.0,362.0,0.285
25,231,1147.0,369.0,0.326
25,232,1161.0,385.0,0.635
26,239,1148.0,480.0,0.459
26,240,1148.0,470.0,0.718
26,242,1136.0,537.0,0.512
27,247,878.0,338.0,0.379
27,248,844.0,323.0,0.676
28,249,792.0,385.0,0.644
28,253,706.0,315.0,0.629
28,254,701.0,284.0,0.717
29,257,267.0,225.0,0.301
29,258,278.0,222.0,0.24
30,259,215.0,194.0,0.274
30,260,249.0,188.0,0.585
31,263,325.0,338.0,0.469
31,266,314.0,386.0,0.501
32,271,617.0,291.0,0.243
32,273,611.0,263.0,0.269
33,275,571.0,318.0,0.604
33,281,631.0,302.0,0.567
34,281,265.0,369.0,0.498
34,282,267.0,361.0,0.334
35,275,294.0,285.0,0.445
35,281,344.0,302.0,0.32
35,282,342.0,326.0,0.434
35,283,361.0,348.0,0.572
36,288,489.0,325.0,0.316
36,292,634.0,310.0,0.457
37,301,596.0,284.0,0.488
37,303,596.0,270.0,0.612
38,301,500.0,336.0,0.345
38,303,539.0,396.0,0.501
39,301,741.0,292.0,0.432
39,303,738.0,230.0,0.263
40,309,962.0,273.0,0.701
40,313,964.0,285.0,0.573
41,309,738.0,279.0,0.404
41,313,846.0,377.0,0.339
41,315,819.0,319.0,0.463
42,315,585.0,386.0,0.446
42,318,666.0,422.0,0.404
43,340,1150.0,340.0,0.39
43,347,1273.0,461.0,0.278
44,349,701.0,499.0,0.366
44,353,744.0,567.0,0.424
45,362,287.0,241.0,0.39
45,364,277.0,271.0,0.79
45,366,316.0,313.0,0.822
45,368,317.0,352.0,0.672
46,369,291.0,402.0,0.604
46,370,293.0,410.0,0.737
47,374,492.0,541.0,0.331
47,380,468.0,378.0,0.408
47,381,472.0,371.0,0.628
47,383,429.0,408.0,0.681
47,384,464.0,396.0,0.498
48,386,860.0,427.0,0.795
48,390,985.0,496.0,0.592
48,391,1000.0,462.0,0.522
48,393,948.0,414.0,0.511
49,402,374.0,295.0,0.48
49,403,373.0,299.0,0.47
50,417,679.0,208.0,0.242
50,418,643.0,194.0,0.225
51,420,709.0,368.0,0.348
51,422,739.0,323.0,0.241
52,428,943.0,368.0,0.591
52,429,952.0,363.0,0.498
53,435,916.0,356.0,0.539
53,439,870.0,314.0,0.457
53,443,946.0,333.0,0.393
54,444,931.0,251.0,0.547
54,445,913.0,247.0,0.529
55,445,794.0,402.0,0.281
55,447,822.0,409.0,0.363
56,450,601.0,323.0,0.506
56,451,582.0,332.0,0.268
57,453,425.0,260.0,0.64
57,455,377.0,271.0,0.316
58,465,763.0,390.0,0.762
58,467,758.0,341.0,0.389
59,475,745.0,407.0,0.29
59,481,700.0,540.0,0.367
59,482,700.0,540.0,0.506
59,483,700.0,540.0,0.605
59,484,701.0,540.0,0.326
59,485,701.0,540.0,0.285
59,486,701.0,539.0,0.317
59,487,701.0,539.0,0.368
59,488,701.0,539.0,0.341
60,492,94.0,324.0,0.427
60,493,94.0,325.0,0.403
60,494,94.0,324.0,0.319
61,494,700.0,543.0,0.38
61,495,700.0,546.0,0.373
62,502,715.0,533.0,0.407
62,506,618.0,436.0,0.853
63,507,507.0,416.0,0.638
63,510,473.0,450.0,0.639
64,516,472.0,484.0,0.618
64,517,475.0,453.0,0.685
65,521,478.0,461.0,0.745
65,522,474.0,463.0,0.787
65,523,469.0,462.0,0.717
66,512,711.0,542.0,0.451
66,513,712.0,542.0,0.42
66,514,712.0,542.0,0.334
66,515,712.0,542.0,0.344
66,516,712.0,542.0,0.341
66,517,712.0,541.0,0.313
66,518,711.0,542.0,0.349
66,519,710.0,541.0,0.292
66,520,710.0,542.0,0.311
66,521,711.0,542.0,0.335
66,522,711.0,543.0,0.537
66,523,709.0,543.0,0.613
66,524,708.0,543.0,0.689
66,525,708.0,544.0,0.366
67,529,701.0,539.0,0.401
67,530,702.0,539.0,0.377
67,532,711.0,542.0,0.33
67,533,711.0,540.0,0.453
68,541,707.0,540.0,0.405
68,542,710.0,539.0,0.447
68,543,711.0,539.0,0.383
68,544,710.0,538.0,0.355
69,544,746.0,372.0,0.491
69,545,731.0,378.0,0.731
69,546,722.0,382.0,0.663
69,547,716.0,384.0,0.632
69,550,680.0,495.0,0.747
70,551,96.0,545.0,0.495
70,552,97.0,544.0,0.325
71,554,713.0,542.0,0.319
71,555,713.0,541.0,0.304
71,556,714.0,541.0,0.257
72,552,720.0,398.0,0.378
72,553,701.0,375.0,0.716
72,554,703.0,364.0,0.607
72,555,697.0,359.0,0.706
72,556,693.0,356.0,0.608
72,557,692.0,355.0,0.667
72,558,691.0,352.0,0.69
73,560,690.0,350.0,0.361
73,564,579.0,450.0,0.569
74,564,715.0,543.0,0.336
74,566,728.0,538.0,0.49
75,569,842.0,421.0,0.501
75,570,843.0,420.0,0.673
76,571,540.0,337.0,0.565
76,572,538.0,326.0,0.285
76,573,537.0,319.0,0.334
76,574,537.0,320.0,0.365
76,575,538.0,320.0,0.459
76,576,538.0,323.0,0.299
77,575,473.0,458.0,0.759
77,576,477.0,458.0,0.606
77,577,481.0,448.0,0.659
78,583,437.0,384.0,0.563
78,584,455.0,378.0,0.736
79,584,813.0,276.0,0.295
79,588,890.0,363.0,0.703
80,590,1112.0,335.0,0.519
80,594,995.0,369.0,0.633
81,596,987.0,260.0,0.501
81,597,962.0,257.0,0.586
82,597,746.0,308.0,0.37
82,598,713.0,288.0,0.687
83,600,957.0,322.0,0.759
83,601,940.0,322.0,0.662
83,602,920.0,313.0,0.473
84,603,889.0,366.0,0.53
84,606,825.0,367.0,0.508
85,607,52.0,344.0,0.571
85,608,67.0,324.0,0.474
85,609,56.0,353.0,0.419
86,614,198.0,368.0,0.453
86,615,180.0,382.0,0.318
87,623,713.0,335.0,0.565
87,627,781.0,317.0,0.437
88,630,469.0,433.0,0.421
88,631,472.0,461.0,0.493
88,632,448.0,461.0,0.476
88,633,444.0,466.0,0.551
89,637,620.0,324.0,0.422
89,638,616.0,326.0,0.432
90,639,548.0,505.0,0.447
90,640,555.0,510.0,0.429
91,670,773.0,438.0,0.643
91,674,807.0,366.0,0.323
91,677,827.0,364.0,0.564
92,684,354.0,431.0,0.453
92,687,411.0,348.0,0.71
93,688,441.0,397.0,0.244
93,690,393.0,387.0,0.244
94,688,725.0,300.0,0.335
94,690,797.0,293.0,0.569
94,695,761.0,337.0,0.39
95,698,782.0,318.0,0.448
95,700,803.0,301.0,0.473
95,701,786.0,292.0,0.708
96,703,234.0,322.0,0.453
96,704,214.0,332.0,0.277
97,705,996.0,264.0,0.716
97,706,1005.0,289.0,0.534
98,711,536.0,386.0,0.412
98,712,557.0,401.0,0.574
98,713,587.0,383.0,0.565
99,717,501.0,399.0,0.705
99,718,470.0,397.0,0.402
99,719,440.0,375.0,0.47
100,721,143.0,284.0,0.377
100,723,208.0,246.0,0.511
101,724,420.0,268.0,0.353
101,728,522.0,255.0,0.325
102,724,719.0,365.0,0.451
102,728,796.0,420.0,0.386
103,730,455.0,417.0,0.56
103,731,490.0,432.0,0.574
104,731,844.0,258.0,0.398
104,732,838.0,258.0,0.395
105,742,931.0,347.0,0.8
105,743,931.0,340.0,0.701
105,744,944.0,305.0,0.412
105,747,843.0,355.0,0.571
106,751,573.0,275.0,0.248
106,758,421.0,241.0,0.311
107,767,476.0,298.0,0.458
107,768,495.0,311.0,0.393
107,776,490.0,352.0,0.251
107,777,489.0,334.0,0.581
108,777,375.0,424.0,0.384
108,779,393.0,380.0,0.715
109,780,505.0,384.0,0.537
109,781,504.0,367.0,0.315
109,784,490.0,354.0,0.339
110,792,485.0,436.0,0.627
110,794,535.0,421.0,0.296
111,799,425.0,212.0,0.562
111,800,422.0,210.0,0.813
111,801,422.0,208.0,0.682
111,802,424.0,206.0,0.697
111,803,424.0,204.0,0.676
111,804,427.0,202.0,0.663
112,806,442.0,201.0,0.68
112,807,453.0,203.0,0.679
112,808,460.0,204.0,0.629
112,809,465.0,207.0,0.314
112,810,467.0,207.0,0.393
112,812,483.0,214.0,0.332
112,813,483.0,215.0,0.537
112,814,482.0,217.0,0.435
112,816,470.0,217.0,0.57
112,817,462.0,218.0,0.495
112,823,352.0,215.0,0.254
112,825,309.0,212.0,0.478
112,826,294.0,238.0,0.614
113,830,611.0,217.0,0.782
113,840,636.0,206.0,0.392
114,845,405.0,311.0,0.421
114,849,407.0,462.0,0.416
115,849,1048.0,242.0,0.536
115,852,1047.0,213.0,0.455
116,853,409.0,535.0,0.746
116,854,394.0,525.0,0.537
116,855,417.0,552.0,0.422
117,861,733.0,413.0,0.319
117,862,758.0,394.0,0.624
118,863,585.0,448.0,0.4
118,864,599.0,464.0,0.798
119,868,564.0,287.0,0.311
119,870,578.0,239.0,0.573
119,874,524.0,220.0,0.334
119,877,523.0,211.0,0.5
119,879,515.0,216.0,0.391
119,880,514.0,217.0,0.334
120,897,678.0,425.0,0.518
120,899,732.0,370.0,0.519
121,902,891.0,384.0,0.406
121,905,957.0,382.0,0.286
122,902,647.0,353.0,0.411
122,905,698.0,344.0,0.647
122,906,682.0,327.0,0.393
123,915,636.0,364.0,0.662
123,916,633.0,365.0,0.408
124,916,860.0,325.0,0.455
124,918,857.0,314.0,0.258
125,926,611.0,327.0,0.607
125,928,565.0,331.0,0.344
126,928,472.0,302.0,0.522
126,930,407.0,308.0,0.504
127,931,761.0,355.0,0.807
127,932,793.0,337.0,0.639
127,935,805.0,374.0,0.701
127,936,804.0,351.0,0.698
127,938,789.0,362.0,0.422
127,941,677.0,404.0,0.614
128,951,378.0,405.0,0.385
128,953,344.0,366.0,0.512
128,954,343.0,350.0,0.516
128,955,325.0,374.0,0.363
129,956,649.0,268.0,0.313
129,957,665.0,271.0,0.502
130,968,604.0,313.0,0.564
130,970,564.0,268.0,0.425
131,986,360.0,267.0,0.625
131,987,396.0,270.0,0.314
132,989,1105.0,274.0,0.4
132,990,1106.0,273.0,0.378
133,991,231.0,357.0,0.271
133,996,235.0,406.0,0.875
133,997,233.0,394.0,0.856
133,999,257.0,378.0,0.639
134,1001,215.0,394.0,0.735
134,1002,187.0,375.0,0.598
134,1005,139.0,354.0,0.747
135,1017,993.0,372.0,0.416
135,1018,977.0,371.0,0.251
135,1019,982.0,352.0,0.488
136,1021,537.0,271.0,0.432
136,1022,549.0,282.0,0.323
136,1028,677.0,273.0,0.357
136,1032,691.0,267.0,0.286
136,1034,648.0,238.0,0.731
136,1039,484.0,324.0,0.353
137,1040,772.0,340.0,0.356
137,1041,780.0,343.0,0.697
138,1049,567.0,322.0,0.553
138,1050,586.0,323.0,0.309
138,1051,609.0,327.0,0.653
138,1052,642.0,332.0,0.74
138,1053,658.0,334.0,0.892
139,1054,705.0,343.0,0.603
139,1055,716.0,350.0,0.648
139,1056,724.0,353.0,0.709
139,1057,722.0,355.0,0.55
139,1058,716.0,359.0,0.545
139,1059,707.0,363.0,0.281
139,1061,681.0,369.0,0.589
139,1062,663.0,373.0,0.79
139,1063,652.0,376.0,0.476
139,1064,642.0,381.0,0.577
139,1065,643.0,381.0,0.64
139,1070,717.0,442.0,0.563
140,1070,108.0,323.0,0.302
140,1072,115.0,321.0,0.316
141,1078,825.0,354.0,0.454
141,1079,837.0,352.0,0.268
142,1078,366.0,426.0,0.404
142,1079,372.0,426.0,0.531
143,1079,184.0,301.0,0.327
143,1080,187.0,298.0,0.312
143,1081,194.0,297.0,0.336
143,1082,199.0,297.0,0.584
144,1084,218.0,294.0,0.407
144,1085,234.0,294.0,0.51
145,1073,634.0,379.0,0.585
145,1078,700.0,370.0,0.821
145,1079,701.0,367.0,0.438
145,1080,707.0,363.0,0.502
145,1081,710.0,363.0,0.546
145,1082,710.0,359.0,0.548
145,1083,701.0,361.0,0.385
145,1084,694.0,358.0,0.769
145,1085,692.0,363.0,0.753
145,1086,689.0,365.0,0.846
145,1087,691.0,366.0,0.776
145,1088,691.0,368.0,0.745
145,1089,692.0,367.0,0.62
145,1090,694.0,368.0,0.702
145,1091,693.0,369.0,0.794
145,1092,696.0,370.0,0.721
145,1093,712.0,374.0,0.251
145,1094,722.0,368.0,0.592
145,1095,732.0,366.0,0.607
145,1096,754.0,360.0,0.501
145,1097,781.0,355.0,0.81
146,1102,1082.0,308.0,0.57
146,1103,1108.0,293.0,0.446
146,1112,1162.0,305.0,0.324
147,1138,466.0,348.0,0.441
147,1139,493.0,342.0,0.34
147,1140,493.0,342.0,0.349
148,1116,977.0,326.0,0.294
148,1120,956.0,388.0,0.779
148,1121,956.0,390.0,0.486
148,1128,969.0,409.0,0.393
148,1131,942.0,422.0,0.652
148,1132,926.0,430.0,0.668
148,1133,898.0,422.0,0.835
148,1134,878.0,429.0,0.743
148,1135,856.0,432.0,0.82
148,1136,833.0,437.0,0.902
148,1137,814.0,440.0,0.827
148,1138,796.0,433.0,0.622
148,1139,782.0,431.0,0.601
148,1140,782.0,431.0,0.605
148,1141,779.0,417.0,0.922
148,1142,785.0,404.0,0.898
148,1143,806.0,387.0,0.794
148,1144,821.0,379.0,0.867
149,1156,1176.0,365.0,0.748
149,1157,1165.0,362.0,0.437
149,1158,1163.0,362.0,0.518
149,1159,1161.0,364.0,0.589
149,1160,1166.0,363.0,0.264
149,1168,1197.0,342.0,0.709
149,1169,1217.0,343.0,0.292
149,1170,1226.0,345.0,0.62
149,1171,1243.0,349.0,0.633
149,1172,1271.0,350.0,0.598
150,1217,1092.0,226.0,0.498
150,1218,1093.0,226.0,0.561
151,1274,1143.0,325.0,0.559
151,1275,1105.0,332.0,0.564
152,1276,837.0,341.0,0.543
152,1281,872.0,282.0,0.378
152,1285,774.0,281.0,0.505
153,1290,666.0,282.0,0.82
153,1291,646.0,280.0,0.537
153,1292,637.0,279.0,0.353
153,1293,629.0,278.0,0.799
153,1294,627.0,274.0,0.515
153,1295,632.0,276.0,0.506
153,1296,647.0,275.0,0.477
154,1296,822.0,391.0,0.527
154,1299,888.0,309.0,0.243
155,1302,747.0,266.0,0.602
155,1303,774.0,259.0,0.781
156,1305,913.0,337.0,0.249
156,1308,909.0,260.0,0.65
156,1309,903.0,299.0,0.234
156,1310,903.0,292.0,0.469
156,1316,1031.0,298.0,0.545
156,1322,1046.0,306.0,0.454
157,1338,630.0,345.0,0.253
157,1342,697.0,348.0,0.36
158,1344,615.0,285.0,0.576
158,1346,631.0,332.0,0.502
158,1347,646.0,328.0,0.422
158,1348,666.0,352.0,0.536
158,1352,726.0,301.0,0.662
159,1353,666.0,385.0,0.53
159,1359,666.0,335.0,0.466
160,1376,489.0,344.0,0.689
160,1377,487.0,333.0,0.383
161,1378,332.0,370.0,0.392
161,1379,296.0,372.0,0.417
161,1380,296.0,371.0,0.543
162,1379,460.0,321.0,0.529
162,1380,460.0,321.0,0.397
162,1381,454.0,324.0,0.495
162,1383,396.0,278.0,0.375
162,1387,441.0,385.0,0.4
162,1391,568.0,401.0,0.328
163,1397,370.0,441.0,0.478
163,1398,375.0,444.0,0.548
163,1402,362.0,342.0,0.545
164,1404,803.0,397.0,0.245
164,1405,822.0,402.0,0.348
165,1407,357.0,310.0,0.434
165,1408,358.0,305.0,0.795
165,1409,359.0,303.0,0.649
165,1410,366.0,303.0,0.491
165,1411,376.0,303.0,0.697
165,1412,390.0,304.0,0.818
166,1413,490.0,465.0,0.364
166,1414,500.0,458.0,0.672
167,1424,424.0,406.0,0.489
167,1425,423.0,403.0,0.733
167,1426,423.0,402.0,0.571
168,1425,590.0,467.0,0.598
168,1426,589.0,465.0,0.765
169,1432,581.0,466.0,0.442
169,1433,584.0,465.0,0.366
170,1432,425.0,407.0,0.485
170,1433,425.0,411.0,0.417
170,1434,427.0,409.0,0.48
171,1414,411.0,314.0,0.326
171,1416,458.0,309.0,0.355
171,1417,460.0,310.0,0.406
171,1418,465.0,311.0,0.273
171,1419,469.0,310.0,0.818
171,1420,472.0,310.0,0.555
171,1421,472.0,308.0,0.425
171,1422,471.0,307.0,0.537
171,1423,471.0,306.0,0.496
171,1424,471.0,306.0,0.654
171,1425,471.0,306.0,0.687
171,1426,473.0,306.0,0.61
171,1427,477.0,309.0,0.735
171,1428,486.0,313.0,0.846
171,1429,498.0,313.0,0.485
171,1430,506.0,314.0,0.466
171,1431,509.0,315.0,0.604
171,1432,524.0,314.0,0.495
171,1433,529.0,315.0,0.44
171,1434,533.0,317.0,0.764
171,1435,541.0,318.0,0.493
172,1432,997.0,691.0,0.227
172,1433,1004.0,689.0,0.61
172,1434,1010.0,688.0,0.478
172,1435,1012.0,688.0,0.673
173,1436,424.0,406.0,0.628
173,1437,423.0,405.0,0.574
173,1438,424.0,409.0,0.486
173,1439,423.0,413.0,0.477
174,1437,559.0,312.0,0.757
174,1438,563.0,313.0,0.647
174,1439,566.0,315.0,0.818
174,1440,559.0,305.0,0.589
175,1441,1075.0,621.0,0.906
175,1442,1078.0,617.0,0.628
176,1438,588.0,462.0,0.341
176,1439,588.0,463.0,0.507
176,1440,582.0,464.0,0.342
176,1441,585.0,466.0,0.593
176,1442,585.0,464.0,0.47
176,1443,585.0,462.0,0.309
176,1445,581.0,462.0,0.697
176,1446,580.0,464.0,0.499
177,1446,798.0,491.0,0.812
177,1447,801.0,458.0,0.656
177,1448,795.0,495.0,0.816
177,1449,825.0,512.0,0.323
